msbook,msnum,edition,vol,page
1v,20,lv,1,20
1v,20,s3,1,11
1v,21,s1,1,11
1v,21,km,1,20
1v,21,pts1,3,7
1v,22,s1,1,12
1v,22,c1,1,8
1v,22,lv,1,21
1v,22,,1,22
1v,22,nd,1,10
1v,22,c2,1,8
1v,22,km,1,21
1v,22,dy,1,10
1v,22,bj,1,16
1v,22,mc,1,9
1v,22,s3,1,12
1v,23,km,1,22
1v,23,vp,87,8
1v,24,lv,1,23
1v,25,km,1,23
1v,25,dy,1,11
1v,25,pts1,3,8
1v,26,s1,1,13
1v,26,c1,1,9
1v,26,lv,1,24
1v,26,,1,25
1v,26,nd,1,11
1v,26,c2,1,9
1v,26,km,1,24
1v,26,bj,1,18
1v,26,mc,1,10
1v,26,s3,1,13
1v,27,s1,1,14
1v,27,lv,1,26
1v,27,km,1,25
1v,27,dy,1,12
1v,27,s3,1,14
1v,27,vp,87,9
1v,28,s1,1,15
1v,28,c1,1,10
1v,28,lv,1,27
1v,28,,1,28
1v,28,nd,1,12
1v,28,c2,1,10
1v,28,km,1,26
1v,28,,1,27
1v,28,dy,1,13
1v,28,bj,1,20
1v,28,mc,1,11
1v,28,pts1,3,9
1v,28,s3,1,15
1v,29,lv,1,29
1v,29,km,1,28
1v,29,bj,1,22
1v,29,s3,1,16
1v,29,vp,87,10
1v,30,s1,1,16
1v,30,c1,1,11
1v,30,c2,1,11
1v,30,dy,1,14
1v,30,mc,1,12
1v,30,pts1,3,10
1v,31,lv,1,30
1v,31,km,1,29
1v,33,lv,1,31
1v,33,nd,1,13
1v,34,km,1,30
1v,34,s3,1,17
1v,35,s1,1,17
1v,35,bj,1,24
1v,36,c1,1,12
1v,36,lv,1,32
1v,36,,1,33
1v,36,c2,1,12
1v,36,km,1,31
1v,36,,1,32
1v,36,dy,1,15
1v,36,mc,1,13
1v,36,pts1,3,11
1v,36,s3,1,18
1v,36,vp,87,11
1v,38,s1,1,18
1v,38,lv,1,34
1v,38,nd,1,14
1v,38,km,1,33
1v,38,bj,1,26
1v,39,lv,1,35
1v,39,dy,1,16
1v,41,s1,1,19
1v,41,,1,20
1v,41,c1,1,13
1v,41,lv,1,36
1v,41,,1,37
1v,41,nd,1,15
1v,41,c2,1,13
1v,41,km,1,35
1v,41,,1,36
1v,41,dy,1,17
1v,41,bj,1,28
1v,41,mc,1,14
1v,41,pts1,3,12
1v,41,s3,1,19
1v,41,vp,87,12
1v,42,c1,1,14
1v,42,lv,1,38
1v,42,nd,1,16
1v,42,c2,1,14
1v,42,km,1,37
1v,42,dy,1,18
1v,42,mc,1,15
1v,42,s3,1,20
1v,42,vp,87,13
1v,43,s1,1,21
1v,43,lv,1,39
1v,43,,1,40
1v,43,km,1,38
1v,43,bj,1,30
1v,43,pts1,3,13
1v,43,s3,1,21
1v,44,lv,1,41
1v,44,km,1,39
1v,44,dy,1,19
1v,45,s1,1,22
1v,45,c1,1,15
1v,45,lv,1,42
1v,45,nd,1,17
1v,45,c2,1,15
1v,45,km,1,40
1v,45,mc,1,16
1v,45,s3,1,22
1v,45,vp,87,14
1v,46,dy,1,20
1v,47,s1,1,23
1v,47,lv,1,43
1v,47,km,1,41
1v,47,bj,1,32
1v,47,s3,1,23
1v,48,lv,1,44
1v,48,mc,1,17
1v,49,s1,1,24
1v,49,c1,1,16
1v,49,lv,1,45
1v,49,nd,1,18
1v,49,c2,1,16
1v,49,km,1,42
1v,49,,1,43
1v,49,dy,1,21
1v,49,pts1,3,14
1v,49,s3,1,24
1v,49,vp,87,15
1v,50,s1,1,25
1v,50,lv,1,46
1v,50,,1,47
1v,50,km,1,44
1v,50,bj,1,34
1v,50,mc,1,18
1v,50,s3,1,25
1v,51,c1,1,17
1v,51,lv,1,48
1v,51,nd,1,19
1v,51,c2,1,17
1v,51,km,1,45
1v,51,dy,1,22
1v,51,pts1,3,15
1v,51,vp,87,16
1v,52,s1,1,26
1v,52,lv,1,49
1v,52,km,1,46
1v,52,s3,1,26
1v,53,s1,1,27
1v,53,lv,1,50
1v,53,km,1,47
1v,53,dy,1,23
1v,53,bj,1,36
1v,53,mc,1,19
1v,54,c1,1,18
1v,54,lv,1,51
1v,54,c2,1,18
1v,54,s3,1,27
1v,55,s1,1,28
1v,55,lv,1,52
1v,55,nd,1,20
1v,55,km,1,48
1v,55,dy,1,24
1v,55,mc,1,20
1v,55,pts1,3,16
1v,55,s3,1,28
1v,55,vp,87,17
1v,56,s1,1,29
1v,56,c1,1,19
1v,56,lv,1,53
1v,56,c2,1,19
1v,56,km,1,49
1v,56,bj,1,38
1v,57,s1,1,30
1v,57,lv,1,54
1v,57,,1,55
1v,57,,1,56
1v,57,nd,1,21
1v,57,km,1,50
1v,57,,1,51
1v,57,dy,1,25
1v,57,mc,1,21
1v,57,pts1,3,17
1v,57,s3,1,29
1v,57,,1,30
1v,57,vp,87,18
1v,58,c1,1,20
1v,58,c2,1,20
1v,58,km,1,52
1v,58,dy,1,26
1v,58,bj,1,40
1v,59,s1,1,31
1v,59,lv,1,57
1v,59,,1,58
1v,59,nd,1,22
1v,59,km,1,53
1v,59,mc,1,22
1v,59,pts1,3,18
1v,59,s3,1,31
1v,60,vp,87,19
1v,61,s1,1,32
1v,61,c1,1,21
1v,61,lv,1,59
1v,61,,1,60
1v,61,nd,1,23
1v,61,c2,1,21
1v,61,km,1,54
1v,61,,1,55
1v,61,dy,1,27
1v,61,s3,1,32
1v,62,lv,1,61
1v,62,bj,1,42
1v,62,mc,1,23
1v,63,s1,1,33
1v,63,lv,1,62
1v,63,km,1,56
1v,63,dy,1,28
1v,63,pts1,3,19
1v,63,s3,1,33
1v,63,vp,87,20
1v,64,c1,1,22
1v,64,c2,1,22
1v,65,lv,1,63
1v,65,km,1,57
1v,66,s1,1,34
1v,66,lv,1,64
1v,66,nd,1,24
1v,66,km,1,58
1v,66,dy,1,29
1v,66,mc,1,24
1v,66,s3,1,34
1v,68,s1,1,35
1v,68,c1,1,23
1v,68,lv,1,65
1v,68,,1,66
1v,68,c2,1,23
1v,68,km,1,59
1v,68,,1,60
1v,68,dy,1,30
1v,68,bj,1,44
1v,68,pts1,3,20
1v,68,s3,1,35
1v,68,vp,87,21
1v,69,lv,1,67
1v,69,nd,1,25
1v,69,km,1,61
1v,69,mc,1,25
1v,70,s1,1,36
1v,70,,1,37
1v,70,c1,1,24
1v,70,lv,1,68
1v,70,,1,69
1v,70,,1,70
1v,70,nd,1,26
1v,70,c2,1,24
1v,70,km,1,62
1v,70,,1,63
1v,70,,1,64
1v,70,dy,1,31
1v,70,bj,1,46
1v,70,,1,48
1v,70,pts1,3,21
1v,70,s3,1,36
1v,70,s3,1,37
1v,70,vp,87,22
1v,71,lv,1,71
1v,71,km,1,65
1v,71,mc,1,26
1v,72,c1,1,25
1v,72,c2,1,25
1v,72,dy,1,32
1v,73,lv,1,72
1v,75,s1,1,38
1v,75,lv,1,73
1v,75,,1,74
1v,75,nd,1,27
1v,75,km,1,66
1v,75,bj,1,50
1v,75,mc,1,27
1v,75,pts1,3,22
1v,75,s3,1,38
1v,75,vp,87,23
1v,77,s1,1,39
1v,77,c1,1,26
1v,77,lv,1,75
1v,77,c2,1,26
1v,77,km,1,67
1v,77,dy,1,33
1v,77,s3,1,39
1v,78,s1,1,40
1v,78,lv,1,76
1v,78,,1,77
1v,78,,1,78
1v,78,nd,1,28
1v,78,km,1,68
1v,78,,1,69
1v,78,dy,1,34
1v,78,bj,1,52
1v,78,,1,54
1v,78,mc,1,28
1v,78,s3,1,40
1v,78,vp,87,24
1v,79,c1,1,27
1v,79,c2,1,27
1v,79,km,1,70
1v,82,s1,1,41
1v,82,lv,1,79
1v,82,,1,80
1v,82,nd,1,29
1v,82,km,1,71
1v,82,dy,1,35
1v,82,mc,1,29
1v,82,pts1,3,23
1v,82,s3,1,41
1v,82,vp,87,25
1v,83,km,1,72
1v,83,bj,1,56
1v,84,s1,1,42
1v,84,c1,1,28
1v,84,lv,1,81
1v,84,c2,1,28
1v,84,s3,1,42
1v,85,mc,1,30
1v,86,km,1,73
1v,86,pts1,3,24
1v,87,lv,1,82
1v,87,nd,1,30
1v,87,km,1,74
1v,87,dy,1,36
1v,88,s3,1,43
1v,88,vp,87,26
1v,89,s1,1,43
1v,89,lv,1,83
1v,90,c1,1,29
1v,90,c2,1,29
1v,90,km,1,75
1v,90,bj,1,58
1v,91,lv,1,84
1v,91,dy,1,37
1v,91,mc,1,31
1v,92,s1,1,44
1v,92,lv,1,85
1v,92,,1,86
1v,92,nd,1,31
1v,92,km,1,76
1v,92,,1,77
1v,92,pts1,3,25
1v,92,s3,1,44
1v,93,s1,1,45
1v,93,c1,1,30
1v,93,lv,1,87
1v,93,c2,1,30
1v,93,km,1,78
1v,93,dy,1,38
1v,93,bj,1,60
1v,93,mc,1,32
1v,93,s3,1,45
1v,93,vp,87,27
1v,94,lv,1,88
1v,94,km,1,79
1v,94,dy,1,39
1v,94,pts1,3,26
1v,94,s3,1,46
1v,95,s1,1,46
1v,95,c1,1,31
1v,95,lv,1,89
1v,95,,1,90
1v,95,nd,1,32
1v,95,c2,1,31
1v,95,km,1,80
1v,95,mc,1,33
1v,95,vp,87,28
1v,96,s1,1,47
1v,96,lv,1,91
1v,96,km,1,81
1v,96,,1,82
1v,96,dy,1,40
1v,96,bj,1,62
1v,96,s3,1,47
1v,97,lv,1,92
1v,97,nd,1,33
1v,97,mc,1,34
1v,97,s3,1,48
1v,98,s1,1,48
1v,98,c1,1,32
1v,98,lv,1,93
1v,98,c2,1,32
1v,98,km,1,83
1v,98,dy,1,41
1v,98,vp,87,29
1v,99,s1,1,49
1v,99,lv,1,94
1v,99,,1,95
1v,99,nd,1,34
1v,99,km,1,84
1v,99,bj,1,64
1v,99,pts1,3,27
1v,99,s3,1,49
1v,100,c1,1,33
1v,100,lv,1,96
1v,100,c2,1,33
1v,100,km,1,85
1v,100,dy,1,42
1v,100,mc,1,35
1v,101,s1,1,50
1v,101,lv,1,97
1v,101,km,1,86
1v,101,s3,1,50
1v,101,vp,87,30
1v,102,s1,1,51
1v,102,c1,1,34
1v,102,lv,1,98
1v,102,,1,99
1v,102,nd,1,35
1v,102,c2,1,34
1v,102,km,1,87
1v,102,,1,88
1v,102,,1,89
1v,102,dy,1,43
1v,102,bj,1,66
1v,102,mc,1,36
1v,102,pts1,3,28
1v,102,s3,1,51
1v,102,vp,87,31
1v,103,lv,1,100
1v,104,dy,1,44
1v,105,s3,1,52
1v,106,km,1,90
1v,106,bj,1,68
1v,107,s1,1,52
1v,107,lv,1,101
1v,107,mc,1,37
1v,108,c1,1,35
1v,108,nd,1,36
1v,108,c2,1,35
1v,109,lv,1,102
1v,109,km,1,91
1v,109,dy,1,45
1v,109,s3,1,53
1v,109,vp,87,32
1v,110,s1,1,53
1v,110,lv,1,103
1v,110,,1,104
1v,110,km,1,92
1v,110,mc,1,38
1v,110,pts1,3,29
1v,111,s1,1,54
1v,111,c1,1,36
1v,111,lv,1,105
1v,111,nd,1,37
1v,111,c2,1,36
1v,111,km,1,93
1v,111,,1,94
1v,111,dy,1,46
1v,111,bj,1,70
1v,111,s3,1,54
1v,112,lv,1,106
1v,113,km,1,95
1v,113,pts1,3,30
1v,113,s3,1,55
1v,113,vp,87,33
1v,114,lv,1,107
1v,114,dy,1,47
1v,114,mc,1,39
1v,115,s1,1,55
1v,115,c1,1,37
1v,115,lv,1,108
1v,115,nd,1,38
1v,115,c2,1,37
1v,115,km,1,96
1v,115,bj,1,72
1v,117,lv,1,109
1v,117,km,1,97
1v,117,s3,1,56
1v,117,vp,87,34
1v,118,km,1,98
1v,118,dy,1,48
1v,119,s1,1,56
1v,119,lv,1,110
1v,119,mc,1,40
1v,120,km,1,99
1v,120,pts1,3,31
1v,120,s3,1,57
1v,121,c1,1,38
1v,121,lv,1,111
1v,121,nd,1,39
1v,121,c2,1,38
1v,121,km,1,100
1v,121,dy,1,49
1v,121,bj,1,74
1v,122,s1,1,57
1v,122,lv,1,112
1v,122,km,1,101
1v,122,vp,87,35
1v,123,km,1,102
1v,123,dy,1,50
1v,123,mc,1,41
1v,123,s3,1,58
1v,124,lv,1,113
1v,124,km,1,103
1v,124,bj,1,76
1v,125,s1,1,58
1v,125,c1,1,39
1v,125,lv,1,114
1v,125,nd,1,40
1v,125,c2,1,39
1v,125,km,1,104
1v,125,pts1,3,32
1v,126,vp,87,36
1v,127,lv,1,115
1v,127,km,1,105
1v,127,mc,1,42
1v,127,s3,1,59
1v,128,s1,1,59
1v,128,dy,1,51
1v,129,c1,1,40
1v,129,lv,1,116
1v,129,c2,1,40
1v,129,km,1,106
1v,130,nd,1,41
1v,130,km,1,107
1v,130,s3,1,60
1v,131,lv,1,117
1v,131,km,1,108
1v,131,bj,1,78
1v,131,mc,1,43
1v,131,pts1,3,33
1v,131,vp,87,37
1v,132,s1,1,60
1v,132,lv,1,118
1v,132,km,1,109
1v,132,dy,1,52
1v,133,c1,1,41
1v,133,lv,1,119
1v,133,c2,1,41
1v,133,s3,1,61
1v,134,km,1,110
1v,136,nd,1,42
1v,136,dy,1,53
1v,136,vp,87,38
1v,137,s1,1,61
1v,137,lv,1,120
1v,137,km,1,111
1v,137,bj,1,80
1v,137,mc,1,44
1v,137,s3,1,62
1v,140,lv,1,121
1v,140,km,1,112
1v,141,c1,1,42
1v,141,c2,1,42
1v,141,pts1,3,34
1v,143,dy,1,54
1v,144,vp,87,39
1v,145,s1,1,62
1v,145,lv,1,122
1v,145,nd,1,43
1v,145,km,1,113
1v,145,mc,1,45
1v,146,s3,1,63
1v,147,bj,1,82
1v,148,lv,1,123
1v,148,km,1,114
1v,149,c1,1,43
1v,149,c2,1,43
1v,149,dy,1,55
1v,150,s1,1,63
1v,150,lv,1,124
1v,150,s3,1,64
1v,150,vp,87,40
1v,151,lv,1,125
1v,151,nd,1,44
1v,151,km,1,115
1v,151,mc,1,46
1v,151,pts1,3,35
1v,152,km,1,116
1v,152,dy,1,56
1v,153,s1,1,64
1v,153,c1,1,44
1v,153,lv,1,126
1v,153,c2,1,44
1v,153,s3,1,65
1v,154,km,1,117
1v,154,bj,1,84
1v,155,vp,87,41
1v,156,lv,1,127
1v,156,mc,1,47
1v,158,nd,1,45
1v,158,km,1,118
1v,158,dy,1,57
1v,158,pts1,3,36
1v,159,s1,1,65
1v,159,lv,1,128
1v,159,s3,1,66
1v,161,c1,1,45
1v,161,c2,1,45
1v,161,km,1,119
1v,162,lv,1,129
1v,162,mc,1,48
1v,162,vp,87,42
1v,163,s1,1,66
1v,163,km,1,120
1v,163,dy,1,58
1v,163,s3,1,67
1v,164,lv,1,130
1v,164,bj,1,86
1v,165,nd,1,46
1v,165,km,1,121
1v,166,lv,1,131
1v,166,pts1,3,37
1v,167,s1,1,67
1v,167,c1,1,46
1v,167,c2,1,46
1v,167,vp,87,43
1v,168,dy,1,59
1v,168,mc,1,49
1v,168,s3,1,68
1v,169,lv,1,132
1v,169,km,1,122
1v,172,s1,1,68
1v,172,lv,1,133
1v,172,nd,1,47
1v,172,km,1,123
1v,172,s3,1,69
1v,173,dy,1,60
1v,173,bj,1,88
1v,173,mc,1,50
1v,174,c1,1,47
1v,174,lv,1,134
1v,174,c2,1,47
1v,174,km,1,124
1v,174,vp,87,44
1v,175,s1,1,69
1v,175,lv,1,135
1v,175,km,1,125
1v,175,pts1,3,38
1v,175,s3,1,70
1v,177,lv,1,136
1v,177,nd,1,48
1v,177,km,1,126
1v,177,dy,1,61
1v,177,mc,1,51
1v,178,s1,1,70
1v,178,c1,1,48
1v,178,lv,1,137
1v,178,c2,1,48
1v,179,km,1,127
1v,179,s3,1,71
1v,179,vp,87,45
1v,180,bj,1,90
1v,181,s1,1,71
1v,181,lv,1,138
1v,181,,1,139
1v,181,nd,1,49
1v,181,km,1,128
1v,181,dy,1,62
1v,181,mc,1,52
1v,181,pts1,3,39
1v,181,s3,1,72
1v,182,c1,1,49
1v,182,c2,1,49
1v,182,km,1,129
1v,183,s1,1,72
1v,183,,1,73
1v,183,lv,1,140
1v,183,,1,141
1v,183,km,1,130
1v,183,dy,1,63
1v,183,bj,1,92
1v,183,mc,1,53
1v,183,s3,1,73
1v,183,vp,87,46
1v,184,s1,1,74
1v,184,lv,1,142
1v,184,,1,143
1v,184,nd,1,50
1v,184,km,1,131
1v,184,dy,1,64
1v,184,s3,1,74
1v,185,lv,1,144
1v,185,km,1,132
1v,185,mc,1,54
1v,185,pts1,3,40
1v,186,c1,1,50
1v,186,c2,1,50
1v,186,km,1,133
1v,186,s3,1,75
1v,188,lv,1,145
1v,188,km,1,134
1v,188,dy,1,65
1v,188,bj,1,94
1v,188,vp,87,47
1v,189,s1,1,75
1v,191,,1,76
1v,191,,1,77
1v,191,c1,1,51
1v,191,lv,1,146
1v,191,,1,147
1v,191,nd,1,51
1v,191,c2,1,51
1v,191,km,1,135
1v,191,,1,136
1v,191,dy,1,66
1v,191,mc,1,55
1v,191,pts1,3,41
1v,191,s3,1,76
1v,192,lv,1,148
1v,192,bj,1,96
1v,192,s3,1,77
1v,192,vp,87,48
1v,193,lv,1,149
1v,193,km,1,137
1v,193,pts1,3,42
1v,194,s1,1,78
1v,194,c1,1,52
1v,194,lv,1,150
1v,194,nd,1,52
1v,194,c2,1,52
1v,194,km,1,138
1v,194,dy,1,67
1v,194,mc,1,56
1v,194,s3,1,78
1v,195,lv,1,151
1v,195,km,1,139
1v,196,s1,1,79
1v,196,lv,1,152
1v,196,nd,1,53
1v,196,km,1,140
1v,196,dy,1,68
1v,196,bj,1,98
1v,196,mc,1,57
1v,196,pts1,3,43
1v,196,s3,1,79
1v,196,vp,87,49
1v,197,c1,1,53
1v,197,lv,1,153
1v,197,c2,1,53
1v,198,s1,1,80
1v,198,lv,1,154
1v,198,km,1,141
1v,199,lv,1,155
1v,199,km,1,142
1v,199,dy,1,69
1v,199,s3,1,80
1v,201,s1,1,81
1v,201,c1,1,54
1v,201,lv,1,156
1v,201,,1,157
1v,201,nd,1,54
1v,201,c2,1,54
1v,201,km,1,143
1v,201,,1,144
1v,201,dy,1,70
1v,201,bj,1,100
1v,201,mc,1,58
1v,201,pts1,3,44
1v,201,s3,1,81
1v,201,vp,87,50
1v,202,s1,1,82
1v,202,lv,1,158
1v,202,km,1,145
1v,202,s3,1,82
1v,203,lv,1,159
1v,203,mc,1,59
1v,204,nd,1,55
1v,204,km,1,146
1v,204,dy,1,71
1v,204,bj,1,102
1v,204,pts1,3,45
1v,205,s1,1,83
1v,205,c1,1,55
1v,205,lv,1,160
1v,205,,1,161
1v,205,c2,1,55
1v,205,km,1,147
1v,205,s3,1,83
1v,205,vp,87,51
1v,208,s1,1,84
1v,208,lv,1,162
1v,208,,1,163
1v,208,nd,1,56
1v,208,km,1,148
1v,208,,1,149
1v,208,dy,1,72
1v,208,bj,1,104
1v,208,mc,1,60
1v,208,pts1,3,46
1v,208,s3,1,84
1v,209,c1,1,56
1v,209,lv,1,164
1v,209,c2,1,56
1v,209,km,1,150
1v,209,vp,87,52
1v,210,s1,1,85
1v,210,s3,1,85
1v,211,km,1,151
1v,211,dy,1,73
1v,211,mc,1,61
1v,212,lv,1,165
1v,212,nd,1,57
1v,214,c1,1,57
1v,214,c2,1,57
1v,215,km,1,152
1v,217,lv,1,166
1v,217,vp,87,53
1v,219,s1,1,86
1v,219,bj,1,106
1v,219,pts1,3,47
1v,219,s3,1,86
1v,221,km,1,153
1v,221,dy,1,74
1v,221,mc,1,62
1v,222,lv,1,167
1v,226,nd,1,58
1v,227,c1,1,58
1v,227,c2,1,58
1v,227,km,1,154
1v,228,lv,1,168
1v,228,vp,87,54
1v,229,s3,1,87
1v,230,s1,1,87
1v,230,lv,1,169
1v,230,km,1,155
1v,230,dy,1,75
1v,230,mc,1,63
1v,231,s1,1,88
1v,231,c1,1,59
1v,231,lv,1,170
1v,231,,1,171
1v,231,nd,1,59
1v,231,c2,1,59
1v,231,km,1,156
1v,231,bj,1,108
1v,231,pts1,3,48
1v,231,s3,1,88
1v,232,dy,1,76
1v,232,vp,87,55
1v,233,lv,1,172
1v,233,km,1,157
1v,233,mc,1,64
1v,233,s3,1,89
1v,234,s1,1,89
1v,234,lv,1,173
1v,235,km,1,158
1v,235,bj,1,110
1v,235,pts1,3,49
1v,236,s1,1,90
1v,236,c1,1,60
1v,236,lv,1,174
1v,236,nd,1,60
1v,236,c2,1,60
1v,236,km,1,159
1v,236,dy,1,77
1v,236,mc,1,65
1v,236,s3,1,90
1v,236,vp,87,56
1v,237,lv,1,175
1v,238,,1,176
1v,238,km,1,160
1v,238,dy,1,78
1v,238,s3,1,91
1v,239,s1,1,91
1v,239,c1,1,61
1v,239,lv,1,177
1v,239,lv,1,178
1v,239,nd,1,61
1v,239,c2,1,61
1v,239,km,1,161
1v,239,bj,1,112
1v,239,mc,1,66
1v,239,pts1,3,50
1v,240,km,1,162
1v,240,s3,1,92
1v,240,vp,87,57
1v,241,s1,1,92
1v,241,c1,1,62
1v,241,lv,1,179
1v,241,,1,180
1v,241,c2,1,62
1v,241,km,1,163
1v,241,dy,1,79
1v,241,mc,1,67
1v,241,s3,1,93
1v,242,s1,1,93
1v,242,lv,1,181
1v,242,nd,1,62
1v,242,km,1,164
1v,242,,1,165
1v,242,dy,1,80
1v,242,bj,1,114
1v,242,vp,87,58
1v,243,lv,1,182
1v,243,s3,1,94
1v,244,s1,1,94
1v,244,lv,1,183
1v,244,km,1,166
1v,244,mc,1,68
1v,244,pts1,3,51
1v,245,c1,1,63
1v,245,lv,1,184
1v,245,nd,1,63
1v,245,c2,1,63
1v,245,km,1,167
1v,245,dy,1,81
1v,245,s3,1,95
1v,246,bj,1,116
1v,247,s1,1,95
1v,247,lv,1,185
1v,247,vp,87,59
1v,248,lv,1,186
1v,248,km,1,168
1v,248,mc,1,69
1v,248,s3,1,96
1v,249,c1,1,64
1v,249,c2,1,64
1v,249,km,1,169
1v,249,dy,1,82
1v,249,pts1,3,52
1v,250,s1,1,96
1v,250,lv,1,187
1v,251,nd,1,64
1v,251,km,1,170
1v,251,s3,1,97
1v,252,lv,1,188
1v,252,mc,1,70
1v,252,vp,87,60
1v,253,bj,1,118
1v,254,c1,1,65
1v,254,lv,1,189
1v,254,c2,1,65
1v,254,km,1,171
1v,254,dy,1,83
1v,254,s3,1,98
1v,255,s1,1,97
1v,255,lv,1,190
1v,257,km,1,172
1v,257,pts1,3,53
1v,258,lv,1,191
1v,258,nd,1,65
1v,258,mc,1,71
1v,259,dy,1,84
1v,259,s3,1,99
1v,259,vp,87,61
1v,260,s1,1,98
1v,260,lv,1,192
1v,260,km,1,173
1v,261,c1,1,66
1v,261,c2,1,66
1v,261,bj,1,120
1v,263,km,1,174
1v,264,lv,1,193
1v,265,s1,1,99
1v,265,mc,1,72
1v,265,s3,1,100
1v,266,lv,1,194
1v,266,nd,1,66
1v,266,km,1,175
1v,266,dy,1,85
1v,266,vp,87,62
1v,267,pts1,3,54
1v,268,c1,1,67
1v,268,c2,1,67
1v,268,km,1,176
1v,269,lv,1,195
1v,269,s3,1,101
1v,270,s1,1,100
1v,270,bj,1,122
1v,271,lv,1,196
1v,271,dy,1,86
1v,271,mc,1,73
1v,272,km,1,177
1v,272,vp,87,63
1v,273,lv,1,197
1v,273,nd,1,67
1v,274,s1,1,101
1v,274,c1,1,68
1v,274,c2,1,68
1v,274,km,1,178
1v,274,s3,1,102
1v,275,lv,1,198
1v,275,pts1,3,55
1v,276,dy,1,87
1v,277,lv,1,199
1v,277,km,1,179
1v,277,bj,1,124
1v,277,mc,1,74
1v,278,s3,1,103
1v,278,vp,87,64
1v,279,s1,1,102
1v,279,lv,1,200
1v,279,nd,1,68
1v,279,km,1,180
1v,280,c1,1,69
1v,280,c2,1,69
1v,282,dy,1,88
1v,282,bj,1,126
1v,283,lv,1,201
1v,283,km,1,181
1v,284,mc,1,75
1v,285,s3,1,104
1v,286,s1,1,103
1v,286,vp,87,65
1v,287,km,1,182
1v,288,pts1,3,56
1v,289,c1,1,70
1v,289,c2,1,70
1v,290,lv,1,202
1v,290,nd,1,69
1v,290,km,1,183
1v,290,dy,1,89
1v,292,km,1,184
1v,292,mc,1,76
1v,292,s3,1,105
1v,293,lv,1,203
1v,293,vp,87,66
1v,294,s1,1,104
1v,294,bj,1,128
1v,295,km,1,185
1v,296,c1,1,71
1v,296,lv,1,204
1v,296,c2,1,71
1v,297,nd,1,70
1v,297,km,1,186
1v,297,dy,1,90
1v,297,mc,1,77
1v,297,s3,1,106
1v,298,s1,1,105
1v,298,lv,1,205
1v,298,pts1,3,57
1v,299,km,1,187
1v,300,s1,1,106
1v,300,lv,1,206
1v,300,km,1,188
1v,300,dy,1,91
1v,300,s3,1,107
1v,300,vp,87,67
1v,301,c1,1,72
1v,301,lv,1,207
1v,301,c2,1,72
1v,301,mc,1,78
1v,302,nd,1,71
1v,302,km,1,189
1v,302,bj,1,130
1v,303,s1,1,107
1v,303,lv,1,208
1v,303,km,1,190
1v,303,dy,1,92
1v,303,s3,1,108
