uid,acro,name
svbh,Svbh,
t,T,Taishō
other-t,Other-T,"Other Taishō"
tha-ap,Tha Ap,Therāpadāna
thag,Thag,Theragāthā
thi-ap,Thi Ap,Therīapadāna
thig,Thig,Therīgāthā
tib,Tib,Tibetan
ud,Ud,Udāna
uf,Uigh,Uighur fragments
up,Up,Upāyikā
upp,Upp,Upaliparipṛcchā
uv,UV,Udānavarga
ve,VE,"Vinaya Ekottara"
vk,Vk,Vijnānakāya
vns,Vns,Vinayanidānasūtra
vs,VS,"(Vinaya) Saṃyutta"
vv,Vv,Vimānavatthu
ya,Ya,Yamaka
nidana,Nidana,Nidāna

# Languages,,
pi,Pi,Pāli
zh,Zh,Chinese
lzh,Lzh,Chinese
skt,Skt,Sanskrit
gr,Gr,Gāndhārī
pr,Pr,Prākrit
ug,Ug,Uighur
bo,Bo,Tibetan
my,My,Burmese
de,De,German
en,En,English
es,Es,Spanish
fr,Fr,French
ko,Ko,Korean
ru,Ru,Russian
vn,Vn,Vietnamese
kh,Kh,Khotanese
,,
# Pitaka,,
ab,Ab,Abhidhamma
su,Su,Suttas
vi,Vi,Vinaya
,,
# Sects,,
tv,Tv,Theravāda
vb,Vb,Vibhaṅga
pm,Pm,Pātimokkha
pvr,Pvr,Parivāra
sarv,Sarv,Sarvāstivāda
mu,Mu,Mūlasarvāstivāda
mbt,Mbt,Mahāvyutpatti
mi,Mi,Mahīśāsaka
mg,Mg,Mahāsaṅghika
lo,Lo,Lokuttaravāda
dg,Dg,Dharmaguptaka
ka,Ka,Kāśyapīya
upali,Upali,Upāliparipṛcchā
hv,Hv,Haimavata
,,
# Names,,
bf,Bf,Bajaur
qizil,Qizil,Qizil
tf,Tf,Turfan
finot,Finot,Finot
ba,BA,Bhikkhu Adhyāya
dh,DH,Dun Huang
sc,SC,"SuttaCentral"
,,
# Vinaya Rule Classes,,
pj,Pj,Pārājika
ss,Ss,Saṅghādisesā
ay,Ay,Aniya­ta
np,NP,Nissaggiyā Pācittiyā
pc,Pc,Pācittiyā
pd,Pd,Pāṭidesanīyā
sk,Sk,Sekhiyā
as,As,Adhikaraṇasamathā
du,Du,Dukkaṭa
tl,Tl,Thullaccaya
,,
# Misc,,
asc,Asc,Abhisamācārika
bu,Bu,Bhikkhu
bi,Bi,Bhikkhunī
pn,Pn,Pakiṇṇaka
conc,Conc.,Conclusion
gd,Gd,Garudhamma
cases,cases,cases
vagga,Vagga,Vagga
kd,Kd,Khandhaka
acip,ACIP,Asian Classics Input Project
cbeta,CBETA,Chinese Buddhist Electronic Text Association
ddb,DDB,Digital Dictionary of Buddhism
dy,Dy,Dhātukāya
f,F,Fragment
g,G,Gilgit
gbm,GBM,"Gilgit Buddhist Manuscripts"
gretil,GRETIL,"Göttingen Register of Electronic Texts in Indian Languages"
hf,Hf,"Hybrid Sanskrit fragment"
hskt,Hskt,"Hybrid Sanskrit"
ks,KS,"Kindred Sayings"
ll,ll,Parallels
p,P,Page
vol,Vol,Volume
,,
# Editions,,
ed,ed,"edited, editor, edition"
c-a,C-A,"Chaṭṭhasaṅgīti Piṭakaṃ Atthakathā"
c1,C1,"Chaṭṭhasaṅgīti Piṭakaṃ 2496–2499 (1952–1955)"
cha1,C1,"Chaṭṭhasaṅgīti Piṭakaṃ 2496–2499 (1952–1955)"
c2,C2,"Chaṭṭhasaṅgīti Piṭakaṃ 2nd ed. 2500–2506 (1956–1962)"
c3,C3,"Chaṭṭhasaṅgīti Piṭakaṃ (1997)"
cha2,C2,"Chaṭṭhasaṅgīti Piṭakaṃ 2nd ed. 2500–2506 (1956–1962)"
cha3,C3,"Chaṭṭhasaṅgīti Piṭakaṃ (1997)"
mr,Mr,"Maramma Tipiṭaka 2541 (1997)"
ka-ma,Mr,"Maramma Tipiṭaka 2541 (1997)"
si,Si,"Sinhala Tipiṭaka 2501 (1957)"
ka-sī,Si,"Sinhala Tipiṭaka 2501 (1957)"
km,Km,"Phratraipiṭakapāḷi 2501–2512 (1958–1969)"
kaṁ,Km,"Phratraipiṭakapāḷi 2501–2512 (1958–1969)"
maku, Maku,"Mahāmakurājāvidyālai 2466 (1923)"
pts-a,PTS-A,"Pali Text Society Atthakathā"
pts1,PTS 1,"Pali Text Society 1st ed. 2424–2535 (1881–1992)"
pā1,PTS 1,"Pali Text Society 1st ed. 2424–2535 (1881–1992)"
pts2,PTS 2,"Pali Text Society 2nd ed. 2517–2541 (1974–1998)"
pā2,PTS 2,"Pali Text Society 2nd ed. 2517–2541 (1974–1998)"
s-a,S-A,"Syāmaraṭṭhassa Tepiṭakaṃ Atthakathā"
s1,S 1,"Chulachomklao Pāḷi Tipiṭaka 2436 (1893)"
s2,S 2,"Syāmaraṭṭhassa Tepiṭakaṃ 2469–2471 (1926–1928)"
s3,S 3,"Syāmaraṭṭhassa Tepiṭakaṃ 2538 (1995)"
syā1,S 1,"Chulachomklao Pāḷi Tipiṭaka 2436 (1893)"
syā2,S 2,"Syāmaraṭṭhassa Tepiṭakaṃ 2469–2471 (1926–1928)"
syā3,S 3,"Syāmaraṭṭhassa Tepiṭakaṃ 2538 (1995)"
syā1-3,S 1-3,"Chulachomklao Pāḷi Tipiṭaka 2436 (1893),Syāmaraṭṭhassa Tepiṭakaṃ 2469–2471 (1926–1928) & 2538 (1995)"
bj,Bj,"Buddhajayantītripiṭakagranthamālā 2501–2531 (1957–1989)"
sī,Bj,"Buddhajayantītripiṭakagranthamālā 2501–2531 (1957–1989)"
bj-a, Bj A,"Buddhajayantītripiṭakagranthamālā Atthakathā)"
tc,Tc,"Tibetan Critical Editions"
wp,WP,"Wisdom Publications"
